list-none-m,1,1000,1,3000,3963191,1321
list-none-s,1,1000,1,3000,4078874,1359
list-none-m,1,1000,1,3000,4093531,1364
list-id-none,1,1,4,3,68403,22801
list-id-none,1,2,4,6,72351,12058
list-id-none,1,4,4,12,74731,6227
list-id-none,1,8,4,24,84651,3527
list-id-none,1,16,4,48,96818,2017
list-id-none,4,1,4,12,136157,11346
list-id-none,4,4,4,48,151254,3151
list-id-none,8,2,4,48,212568,4428
list-id-none,8,4,4,96,232025,2416
list-id-none,8,8,4,192,267191,1391
list-id-none,12,4,4,144,318868,2214
list-id-none,12,8,4,288,313279,1087
list-id-none,16,2,4,96,440651,4590
list-id-s,1,10,4,30,118436,3947
list-id-s,1,20,4,60,128562,2142
list-id-s,1,40,4,120,165650,1380
list-id-s,1,80,4,240,204488,852
list-id-s,8,10,4,240,263945,1099
list-id-s,12,10,4,360,346802,963
list-id-m,1,10,4,30,95669,3188
list-id-m,1,20,4,60,109377,1822
list-id-m,1,40,4,120,160811,1340
list-id-m,1,80,4,240,222704,927
list-id-s,1,1000,1,3000,61665415,20555
list-id-s,1,1000,2,3000,30289245,10096
list-id-s,1,1000,4,3000,15600422,5200
list-id-s,1,1000,8,3000,8145783,2715
list-id-s,1,1000,16,3000,4413023,1471
list-id-m,1,1000,1,3000,62567676,20855
list-id-m,1,1000,2,3000,31376831,10458
list-id-m,1,1000,4,3000,16152728,5384
list-id-m,1,1000,8,3000,8165464,2721
list-id-m,1,1000,16,3000,4611502,1537
list-none-m,1,1000,1,3000,4080960,1360,43
list-none-s,1,1000,1,3000,4080082,1360,42
list-none-m,1,1000,1,3000,4062426,1354,50
list-id-none,1,1,4,3,112286,37428,60
list-id-none,1,2,4,6,90218,15036,34
list-id-none,1,4,4,12,88669,7389,28
list-id-none,1,8,4,24,114821,4784,32
list-id-none,1,16,4,48,123427,2571,31
list-id-none,4,2,4,24,193265,8052,99
list-id-none,4,8,4,96,154339,1607,105
list-id-none,4,16,4,192,111347,579,914
list-id-none,8,1,4,24,281006,11708,430
list-id-none,8,4,4,96,261227,2721,192
list-id-none,8,16,4,384,237627,618,1029
list-id-none,12,4,4,144,340225,2362,372
list-id-none,16,8,4,384,425970,1109,499
list-id-s,1,10,4,30,114357,3811,41
list-id-s,1,20,4,60,179779,2996,42
list-id-s,1,40,4,120,157023,1308,40
list-id-s,1,80,4,240,246106,1025,42
list-id-s,12,10,4,360,343336,953,945
list-id-m,1,10,4,30,98083,3269,44
list-id-m,1,20,4,60,109640,1827,45
list-id-m,1,40,4,120,140545,1171,45
list-id-m,1,80,4,240,227555,948,44
list-id-m,4,10,4,120,212688,1772,2157
list-id-s,1,1000,1,3000,62717849,20905,40
list-id-s,1,1000,2,3000,31323241,10441,41
list-id-s,1,1000,4,3000,16117603,5372,40
list-id-s,1,1000,8,3000,8436166,2812,40
list-id-s,1,1000,16,3000,4542122,1514,41
list-id-m,1,1000,1,3000,62646078,20882,43
list-id-m,1,1000,2,3000,31244815,10414,43
list-id-m,1,1000,4,3000,15984661,5328,50
list-id-m,1,1000,8,3000,8410571,2803,44
list-id-m,1,1000,16,3000,4606305,1535,45
list-none-m,1,1000,1,3000,4016818,1338
list-none-m,1,1000,1,3000,3957057,1319,49
list-none-s,1,1000,1,3000,4017691,1339,41
list-id-s,1,1000,1,3000,62360317,20786,42
list-id-m,1,1000,1,3000,62608496,20869,44
list-none-s,1,1000,1,3000,3914973,1304,43
list-none-m,1,1000,1,3000,3949611,1316,44
list-none-m,1,1000,1,3000,9590681,3196,428
list-none-s,1,1000,1,3000,4068103,1356,40
list-none-m,1,1000,1,3000,4065046,1355,43
list-id-none,1,1,4,3,98633,32877,64
list-id-none,1,2,4,6,68953,11492,46
list-id-none,1,4,4,12,110451,9204,31
list-id-none,1,8,4,24,111505,4646,31
list-id-none,1,16,4,48,83893,1747,32
list-id-none,8,1,4,24,280392,11683,272
list-id-none,8,8,4,192,251715,1311,656
list-id-none,16,4,4,192,415701,2165,507
list-id-s,1,10,4,30,78576,2619,40
list-id-s,1,20,4,60,126798,2113,42
list-id-s,1,40,4,120,145278,1210,42
list-id-s,1,80,4,240,235125,979,42
list-id-s,12,10,4,360,374582,1040,861
list-id-m,1,10,4,30,110707,3690,45
list-id-m,1,20,4,60,83776,1396,54
list-id-m,1,40,4,120,145005,1208,43
list-id-m,1,80,4,240,249870,1041,44
list-id-m,12,10,4,360,429381,1192,3156
list-id-s,1,1000,1,3000,61906119,20635,42
list-id-s,1,1000,2,3000,30190578,10063,40
list-id-s,1,1000,4,3000,15519569,5173,40
list-id-s,1,1000,8,3000,8034722,2678,40
list-id-s,1,1000,16,3000,4435591,1478,40
list-id-m,1,1000,1,3000,62335553,20778,43
list-id-m,1,1000,2,3000,30718915,10239,47
list-id-m,1,1000,4,3000,15588951,5196,43
list-id-m,1,1000,8,3000,8183818,2727,50
list-id-m,1,1000,16,3000,4494508,1498,48
list-none-m,1,1000,1,3000,4003330,1334,90856
list-none-s,1,1000,1,3000,4359042,1453,97438
list-none-m,1,1000,1,3000,4033666,1344,106556
list-id-m,1,1000,1,3000,62642672,20880,97566
list-none-s,1,1000,1,3000,4029597,1343,84033
list-none-m,1,1000,1,3000,4051138,1350,91554
list-id-s,1,1000,1,3000,129676214,43225,122098
list-id-m,1,1000,1,3000,61266548,20422,89802
list-none-m,1,1000,1,3000,3976856,1325,101030
list-none-s,1,1000,1,3000,4020930,1340,86755
list-none-m,1,1000,1,3000,3953424,1317,96103
list-id-s,1,1000,1,3000,81959931,27319,91770
list-id-m,1,1000,1,3000,62017934,20672,91628
list-none-m,1,1000,1,3000,4085158,1361,1970
list-none-m,2,1000,1,6000,8720262,1453,2127186
list-none-m,4,1000,1,12000,19680415,1640,7285354
list-none-m,8,1000,1,24000,59052804,2460,25974311
list-none-m,12,1000,1,36000,67623776,1878,31049857
list-none-m,16,1000,1,48000,160520672,3344,75454968
list-none-m,24,1000,1,72000,197594173,2744,94849878
list-none-s,1,1000,1,3000,3988762,1329
list-none-s,2,1000,1,6000,15346624,2557
list-none-s,4,1000,1,12000,87939500,7328
list-none-s,8,1000,1,24000,255628718,10651
list-none-s,12,1000,1,36000,594211416,16505
list-none-m,1,1000,1,3000,4044974,1348,1213
list-none-m,2,1000,1,6000,8811268,1468,2154946
list-none-m,4,1000,1,12000,20140249,1678,7467558
list-none-m,8,1000,1,24000,60215546,2508,26485532
list-none-m,16,1000,1,48000,161567684,3365,75666491
list-none-m,24,1000,1,72000,199996448,2777,95944621
list-id-none,1,1,4,3,216751,72250
list-id-none,1,2,4,6,281980,46996
list-id-none,1,4,4,12,233563,19463
list-id-none,1,8,4,24,218035,9084
list-id-none,1,16,4,48,188447,3925
list-id-none,4,1,4,12,335672,27972
list-id-none,4,2,4,24,254678,10611
list-id-none,4,4,4,48,256293,5339
list-id-none,4,8,4,96,304079,3167
list-id-none,8,1,4,24,1130269,47094
list-id-none,8,2,4,48,1164261,24255
list-id-none,8,4,4,96,387729,4038
list-id-none,8,8,4,192,404350,2105
list-id-none,12,1,4,36,850997,23638
list-id-none,12,4,4,144,1154751,8019
list-id-none,12,8,4,288,1150451,3994
list-id-none,16,1,4,48,1182778,24641
list-id-none,16,4,4,192,1154620,6013
list-id-s,1,10,4,30,241727,8057
list-id-s,1,20,4,60,243388,4056
list-id-s,1,40,4,120,272520,2271
list-id-s,1,80,4,240,366303,1526
list-id-s,4,10,4,120,311736,2597
list-id-s,4,20,4,240,292009,1216
list-id-s,4,40,4,480,499989,1041
list-id-s,4,80,4,960,969076,1009
list-id-s,8,10,4,240,940454,3918
list-id-s,8,20,4,480,406632,847
list-id-s,8,40,4,960,1608193,1675
list-id-s,8,80,4,1920,2762857,1438
list-id-s,12,10,4,360,1267746,3521
list-id-s,12,20,4,720,694925,965
list-id-s,12,40,4,1440,1628778,1131
list-id-s,12,80,4,2880,5149673,1788
list-id-s,16,10,4,480,1178524,2455
list-id-s,16,20,4,960,1236105,1287
list-id-s,16,40,4,1920,2868784,1494
list-id-s,16,80,4,3840,7966365,2074
list-id-m,1,10,4,30,251660,8388,1331
list-id-m,1,20,4,60,244315,4071,1366
list-id-m,1,40,4,120,251719,2097,1255
list-id-m,1,80,4,240,337984,1408,1177
list-id-m,4,10,4,120,313616,2613,8010
list-id-m,4,20,4,240,311116,1296,38671
list-id-m,4,40,4,480,353039,735,90498
list-id-m,4,80,4,960,755730,787,214380
list-id-m,8,10,4,240,422839,1761,12262
list-id-m,8,20,4,480,380491,792,51158
list-id-m,8,40,4,960,590240,614,183215
list-id-m,8,80,4,1920,1332356,693,518601
